Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (11938338),James Harden,11938338,PG/SG/G/UTIL,12500,CLE@HOU 01/11/2019 08:00PM ET,HOU,60.05
SF/PF,Giannis Antetokounmpo (11938342),Giannis Antetokounmpo,11938342,SF/PF/F/UTIL,11300,MIL@WAS 01/11/2019 07:00PM ET,MIL,56.70
C,Joel Embiid (11938346),Joel Embiid,11938346,C/UTIL,11000,ATL@PHI 01/11/2019 07:00PM ET,PHI,54.14
SF/PF,LeBron James (11938348),LeBron James,11938348,SF/PF/F/UTIL,10500,LAL@UTA 01/11/2019 10:00PM ET,LAL,52.73
C,Karl-Anthony Towns (11938352),Karl-Anthony Towns,11938352,C/UTIL,10200,DAL@MIN 01/11/2019 08:00PM ET,MIN,47.79
PG/SG,Stephen Curry (11938354),Stephen Curry,11938354,PG/SG/G/UTIL,9900,CHI@GS 01/11/2019 10:30PM ET,GS,47.92
SF/PF,Kevin Durant (11938358),Kevin Durant,11938358,SF/PF/F/UTIL,9800,CHI@GS 01/11/2019 10:30PM ET,GS,50.30
SF/PF,Kawhi Leonard (11938362),Kawhi Leonard,11938362,SF/PF/F/UTIL,9700,BKN@TOR 01/11/2019 07:30PM ET,TOR,46.80
PG/SF,Ben Simmons (11938366),Ben Simmons,11938366,PG/SF/F/G/UTIL,8900,ATL@PHI 01/11/2019 07:00PM ET,PHI,43.51
PG,Damian Lillard (11938371),Damian Lillard,11938371,PG/G/UTIL,8700,CHA@POR 01/11/2019 10:00PM ET,POR,43.94
SG,Bradley Beal (11938374),Bradley Beal,11938374,SG/G/UTIL,8600,MIL@WAS 01/11/2019 07:00PM ET,WAS,41.70
SG/SF,Luka Doncic (11938377),Luka Doncic,11938377,SG/SF/F/G/UTIL,8400,DAL@MIN 01/11/2019 08:00PM ET,DAL,38.05
PG,Kemba Walker (11938382),Kemba Walker,11938382,PG/G/UTIL,8300,CHA@POR 01/11/2019 10:00PM ET,CHA,42.99
PG/SG,Victor Oladipo (11938385),Victor Oladipo,11938385,PG/SG/G/UTIL,8200,IND@NY 01/11/2019 07:30PM ET,IND,39.26
C,Jusuf Nurkic (11938389),Jusuf Nurkic,11938389,C/UTIL,8100,CHA@POR 01/11/2019 10:00PM ET,POR,36.91
C,Rudy Gobert (11938395),Rudy Gobert,11938395,C/UTIL,8000,LAL@UTA 01/11/2019 10:00PM ET,UTA,39.38
PF/C,Kevin Love (11938391),Kevin Love,11938391,PF/C/F/UTIL,8000,CLE@HOU 01/11/2019 08:00PM ET,CLE,42.88
PG/SG,Donovan Mitchell (11938397),Donovan Mitchell,11938397,PG/SG/G/UTIL,7900,LAL@UTA 01/11/2019 10:00PM ET,UTA,33.92
PF/C,John Collins (11938401),John Collins,11938401,PF/C/F/UTIL,7800,ATL@PHI 01/11/2019 07:00PM ET,ATL,37.05
C,Clint Capela (11938408),Clint Capela,11938408,C/UTIL,7600,CLE@HOU 01/11/2019 08:00PM ET,HOU,40.98
PG,Kyle Lowry (11938405),Kyle Lowry,11938405,PG/G/UTIL,7600,BKN@TOR 01/11/2019 07:30PM ET,TOR,38.62
SG/SF,Jimmy Butler (11938414),Jimmy Butler,11938414,SG/SF/F/G/UTIL,7600,ATL@PHI 01/11/2019 07:00PM ET,PHI,36.04
PF/C,Domantas Sabonis (11938410),Domantas Sabonis,11938410,PF/C/F/UTIL,7500,IND@NY 01/11/2019 07:30PM ET,IND,33.40
C,DeAndre Jordan (11938419),DeAndre Jordan,11938419,C/UTIL,7300,DAL@MIN 01/11/2019 08:00PM ET,DAL,34.76
SG,Klay Thompson (11938421),Klay Thompson,11938421,SG/G/UTIL,7200,CHI@GS 01/11/2019 10:30PM ET,GS,34.29
SF/PF,Kyle Kuzma (11938424),Kyle Kuzma,11938424,SF/PF/F/UTIL,7200,LAL@UTA 01/11/2019 10:00PM ET,LAL,31.69
PG,Chris Paul (11938428),Chris Paul,11938428,PG/G/UTIL,7200,CLE@HOU 01/11/2019 08:00PM ET,HOU,37.39
PF/C,Draymond Green (11938431),Draymond Green,11938431,PF/C/F/UTIL,7000,CHI@GS 01/11/2019 10:30PM ET,GS,31.92
SG/SF,Khris Middleton (11938444),Khris Middleton,11938444,SG/SF/F/G/UTIL,6900,MIL@WAS 01/11/2019 07:00PM ET,MIL,33.72
PG/SG,D'Angelo Russell (11938435),D'Angelo Russell,11938435,PG/SG/G/UTIL,6900,BKN@TOR 01/11/2019 07:30PM ET,BKN,34.90
SG/SF,Andrew Wiggins (11938439),Andrew Wiggins,11938439,SG/SF/F/G/UTIL,6800,DAL@MIN 01/11/2019 08:00PM ET,MIN,29.86
PG,Jeff Teague (11938449),Jeff Teague,11938449,PG/G/UTIL,6700,DAL@MIN 01/11/2019 08:00PM ET,MIN,30.49
PF/C,Pascal Siakam (11938452),Pascal Siakam,11938452,PF/C/F/UTIL,6700,BKN@TOR 01/11/2019 07:30PM ET,TOR,30.60
C,Myles Turner (11938456),Myles Turner,11938456,C/UTIL,6700,IND@NY 01/11/2019 07:30PM ET,IND,30.80
PG/SG,Kris Dunn (11938458),Kris Dunn,11938458,PG/SG/G/UTIL,6600,CHI@GS 01/11/2019 10:30PM ET,CHI,32.4
PG/SG,Brandon Ingram (11938462),Brandon Ingram,11938462,PG/SG/G/UTIL,6600,LAL@UTA 01/11/2019 10:00PM ET,LAL,27.93
PG,Lonzo Ball (11938466),Lonzo Ball,11938466,PG/G/UTIL,6500,LAL@UTA 01/11/2019 10:00PM ET,LAL,27.26
PG/SG,Zach LaVine (11938469),Zach LaVine,11938469,PG/SG/G/UTIL,6400,CHI@GS 01/11/2019 10:30PM ET,CHI,37.34
PG/SG,CJ McCollum (11938473),CJ McCollum,11938473,PG/SG/G/UTIL,6300,CHA@POR 01/11/2019 10:00PM ET,POR,31.99
PF/C,Serge Ibaka (11938479),Serge Ibaka,11938479,PF/C/F/UTIL,6200,BKN@TOR 01/11/2019 07:30PM ET,TOR,30.99
C,Enes Kanter (11938477),Enes Kanter,11938477,C/UTIL,6200,IND@NY 01/11/2019 07:30PM ET,NY,32.87
PG/SG,Eric Bledsoe (11938483),Eric Bledsoe,11938483,PG/SG/G/UTIL,6100,MIL@WAS 01/11/2019 07:00PM ET,MIL,32
PG/SG,Derrick Rose (11938487),Derrick Rose,11938487,PG/SG/G/UTIL,6100,DAL@MIN 01/11/2019 08:00PM ET,MIN,31.57
SG/SF,Eric Gordon (11938507),Eric Gordon,11938507,SG/SF/F/G/UTIL,6100,CLE@HOU 01/11/2019 08:00PM ET,HOU,24.34
PG/SG,Spencer Dinwiddie (11938491),Spencer Dinwiddie,11938491,PG/SG/G/UTIL,6100,BKN@TOR 01/11/2019 07:30PM ET,BKN,29.41
SF/PF,Robert Covington (11938495),Robert Covington,11938495,SF/PF/F/UTIL,6000,DAL@MIN 01/11/2019 08:00PM ET,MIN,29.69
PF/C,DeMarcus Cousins (11938499),DeMarcus Cousins,11938499,PF/C/F/UTIL,6000,CHI@GS 01/11/2019 10:30PM ET,GS,0
PG/SG,Caris LeVert (11938503),Caris LeVert,11938503,PG/SG/G/UTIL,6000,BKN@TOR 01/11/2019 07:30PM ET,BKN,32.04
PG,Trae Young (11938512),Trae Young,11938512,PG/G/UTIL,6000,ATL@PHI 01/11/2019 07:00PM ET,ATL,31.56
PF,Lauri Markkanen (11938519),Lauri Markkanen,11938519,PF/F/UTIL,5900,CHI@GS 01/11/2019 10:30PM ET,CHI,32.04
PF/C,Larry Nance Jr. (11938515),Larry Nance Jr.,11938515,PF/C/F/UTIL,5900,CLE@HOU 01/11/2019 08:00PM ET,CLE,27.03
SG/SF,Tim Hardaway Jr. (11938522),Tim Hardaway Jr.,11938522,SG/SF/F/G/UTIL,5900,IND@NY 01/11/2019 07:30PM ET,NY,30.76
SF/PF,Otto Porter Jr. (11938531),Otto Porter Jr.,11938531,SF/PF/F/UTIL,5800,MIL@WAS 01/11/2019 07:00PM ET,WAS,26.58
SF/PF,Harrison Barnes (11938527),Harrison Barnes,11938527,SF/PF/F/UTIL,5800,DAL@MIN 01/11/2019 08:00PM ET,DAL,27.78
PG/SG,Josh Hart (11938537),Josh Hart,11938537,PG/SG/G/UTIL,5800,LAL@UTA 01/11/2019 10:00PM ET,LAL,20.58
C,Tristan Thompson (11938535),Tristan Thompson,11938535,C/UTIL,5800,CLE@HOU 01/11/2019 08:00PM ET,CLE,31.77
PF/C,Noah Vonleh (11938541),Noah Vonleh,11938541,PF/C/F/UTIL,5800,IND@NY 01/11/2019 07:30PM ET,NY,26.44
PG/SG,Malcolm Brogdon (11938549),Malcolm Brogdon,11938549,PG/SG/G/UTIL,5700,MIL@WAS 01/11/2019 07:00PM ET,MIL,28.24
SF/PF,Trevor Ariza (11938558),Trevor Ariza,11938558,SF/PF/F/UTIL,5700,MIL@WAS 01/11/2019 07:00PM ET,WAS,27.22
SG/SF,Joe Ingles (11938553),Joe Ingles,11938553,SG/SF/F/G/UTIL,5700,LAL@UTA 01/11/2019 10:00PM ET,UTA,27.12
PG/SG,Jordan Clarkson (11938545),Jordan Clarkson,11938545,PG/SG/G/UTIL,5700,CLE@HOU 01/11/2019 08:00PM ET,CLE,26.90
PG,Emmanuel Mudiay (11938562),Emmanuel Mudiay,11938562,PG/G/UTIL,5700,IND@NY 01/11/2019 07:30PM ET,NY,25.98
SG/SF,Bojan Bogdanovic (11938565),Bojan Bogdanovic,11938565,SG/SF/F/G/UTIL,5700,IND@NY 01/11/2019 07:30PM ET,IND,25.89
PF/C,Thomas Bryant (11938574),Thomas Bryant,11938574,PF/C/F/UTIL,5600,MIL@WAS 01/11/2019 07:00PM ET,WAS,18.78
SG/SF,Jeremy Lamb (11938578),Jeremy Lamb,11938578,SG/SF/F/G/UTIL,5600,CHA@POR 01/11/2019 10:00PM ET,CHA,28.12
SF/PF,Thaddeus Young (11938570),Thaddeus Young,11938570,SF/PF/F/UTIL,5600,IND@NY 01/11/2019 07:30PM ET,IND,26.14
C,Dwight Howard (11938583),Dwight Howard,11938583,C/UTIL,5500,MIL@WAS 01/11/2019 07:00PM ET,WAS,27.03
PG,Ricky Rubio (11938585),Ricky Rubio,11938585,PG/G/UTIL,5500,LAL@UTA 01/11/2019 10:00PM ET,UTA,28.92
C,Jarrett Allen (11938598),Jarrett Allen,11938598,C/UTIL,5500,BKN@TOR 01/11/2019 07:30PM ET,BKN,27.92
SG/SF,Kent Bazemore (11938588),Kent Bazemore,11938588,SG/SF/F/G/UTIL,5500,ATL@PHI 01/11/2019 07:00PM ET,ATL,27.89
SG/SF,JJ Redick (11938593),JJ Redick,11938593,SG/SF/F/G/UTIL,5500,ATL@PHI 01/11/2019 07:00PM ET,PHI,27.27
PF/C,Wendell Carter Jr. (11938600),Wendell Carter Jr.,11938600,PF/C/F/UTIL,5400,CHI@GS 01/11/2019 10:30PM ET,CHI,25.43
SF/PF,Kevin Knox (11938604),Kevin Knox,11938604,SF/PF/F/UTIL,5400,IND@NY 01/11/2019 07:30PM ET,NY,20.59
PG/SG,Tomas Satoransky (11938612),Tomas Satoransky,11938612,PG/SG/G/UTIL,5300,MIL@WAS 01/11/2019 07:00PM ET,WAS,16.84
SF/PF,DeMarre Carroll (11938616),DeMarre Carroll,11938616,SF/PF/F/UTIL,5300,BKN@TOR 01/11/2019 07:30PM ET,BKN,19.64
PF/C,Dewayne Dedmon (11938608),Dewayne Dedmon,11938608,PF/C/F/UTIL,5300,ATL@PHI 01/11/2019 07:00PM ET,ATL,24.95
SF/PF,Marvin Williams (11938629),Marvin Williams,11938629,SF/PF/F/UTIL,5200,CHA@POR 01/11/2019 10:00PM ET,CHA,22.88
SF/PF,Al-Farouq Aminu (11938633),Al-Farouq Aminu,11938633,SF/PF/F/UTIL,5200,CHA@POR 01/11/2019 10:00PM ET,POR,24.18
PF/C,Derrick Favors (11938637),Derrick Favors,11938637,PF/C/F/UTIL,5200,LAL@UTA 01/11/2019 10:00PM ET,UTA,25.21
PG/SG,Fred VanVleet (11938620),Fred VanVleet,11938620,PG/SG/G/UTIL,5200,BKN@TOR 01/11/2019 07:30PM ET,TOR,23.03
SG/SF,Joe Harris (11938624),Joe Harris,11938624,SG/SF/F/G/UTIL,5200,BKN@TOR 01/11/2019 07:30PM ET,BKN,23.61
SG/SF,Kentavious Caldwell-Pope (11938641),Kentavious Caldwell-Pope,11938641,SG/SF/F/G/UTIL,5100,LAL@UTA 01/11/2019 10:00PM ET,LAL,17.24
C,JaVale McGee (11938646),JaVale McGee,11938646,C/UTIL,5100,LAL@UTA 01/11/2019 10:00PM ET,LAL,26.88
PG,Rajon Rondo (11938652),Rajon Rondo,11938652,PG/G/UTIL,5000,LAL@UTA 01/11/2019 10:00PM ET,LAL,25.75
PG/SG,Austin Rivers (11938648),Austin Rivers,11938648,PG/SG/G/UTIL,5000,CLE@HOU 01/11/2019 08:00PM ET,HOU,16.86
SF,Taurean Prince (11938655),Taurean Prince,11938655,SF/F/UTIL,5000,ATL@PHI 01/11/2019 07:00PM ET,ATL,26.30
C,Brook Lopez (11938658),Brook Lopez,11938658,C/UTIL,4900,MIL@WAS 01/11/2019 07:00PM ET,MIL,24.29
SF/PF,Jeff Green (11938676),Jeff Green,11938676,SF/PF/F/UTIL,4800,MIL@WAS 01/11/2019 07:00PM ET,WAS,22.23
SG/SF,Nicolas Batum (11938660),Nicolas Batum,11938660,SG/SF/F/G/UTIL,4800,CHA@POR 01/11/2019 10:00PM ET,CHA,22.96
PG/SG,Alec Burks (11938669),Alec Burks,11938669,PG/SG/G/UTIL,4800,CLE@HOU 01/11/2019 08:00PM ET,CLE,19.64
PF/C,Rondae Hollis-Jefferson (11938665),Rondae Hollis-Jefferson,11938665,PF/C/F/UTIL,4800,BKN@TOR 01/11/2019 07:30PM ET,BKN,22.28
PG,Darren Collison (11938673),Darren Collison,11938673,PG/G/UTIL,4800,IND@NY 01/11/2019 07:30PM ET,IND,23.92
SF/PF,P.J. Tucker (11938680),P.J. Tucker,11938680,SF/PF/F/UTIL,4700,CLE@HOU 01/11/2019 08:00PM ET,HOU,21.46
SG/SF,Kevin Huerter (11938684),Kevin Huerter,11938684,SG/SF/F/G/UTIL,4700,ATL@PHI 01/11/2019 07:00PM ET,ATL,18.26
SG/SF,Wesley Matthews (11938693),Wesley Matthews,11938693,SG/SF/F/G/UTIL,4600,DAL@MIN 01/11/2019 08:00PM ET,DAL,22.82
PF/C,Bobby Portis (11938698),Bobby Portis,11938698,PF/C/F/UTIL,4600,CHI@GS 01/11/2019 10:30PM ET,CHI,25.61
PG/SG,Jeremy Lin (11938689),Jeremy Lin,11938689,PG/SG/G/UTIL,4600,ATL@PHI 01/11/2019 07:00PM ET,ATL,20.92
