Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365551396,seth1374,0,373.25,SG James Harden UTIL Ben Simmons PG Donovan Mitchell G Eric Bledsoe F Jae Crowder C Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Ersan Ilyasova,UTIL,68.80%,25.25
2,1365464206,MarcusK80,0,369,G James Harden PG Ben Simmons SG Donovan Mitchell SF Joe Ingles UTIL Brook Lopez C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Malcolm Brogdon,SG,63.62%,35
3,1365460735,Jcraig24,0,368.25,G James Harden PG Ben Simmons F Khris Middleton SG Eric Bledsoe UTIL Joe Ingles PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Khris Middleton,SF,55.61%,41.5
3,1365819468,martinwithnogina,0,368.25,G James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe F Joe Ingles PF Ersan Ilyasova UTIL Royce O'Neale C Mike Muscala,,Mike Muscala,F,55.53%,27.75
5,1365043568,JHurrikane55,0,365.25,G James Harden SF Ben Simmons F Khris Middleton PG Eric Bledsoe SG Malcolm Brogdon PF Ersan Ilyasova UTIL Royce O'Neale C Mike Muscala,,Ben Simmons,PG,50.65%,67
5,1365063707,Orochi,0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,James Harden,G,50.52%,88
5,1365096021,KlairVoyant,0,365.25,PG James Harden G Ben Simmons F Khris Middleton SG Eric Bledsoe UTIL Malcolm Brogdon C Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Donovan Mitchell,SG,46.74%,58
5,1365124832,spamamoto,0,365.25,G James Harden PG Ben Simmons SF Khris Middleton UTIL Eric Bledsoe SG Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Eric Bledsoe,SG,42.38%,48
5,1365185972,gdaddy80,0,365.25,PG James Harden SF Ben Simmons SG Khris Middleton UTIL Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Joe Ingles,UTIL,41.34%,38
5,1365201505,AveryBradley,0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Domantas Sabonis,C,34.64%,46.75
5,1365227196,dudemanpa,0,365.25,PG James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe UTIL Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Jimmy Butler,G,31.46%,46.5
5,1365310249,ryan7962,0,365.25,PG James Harden SF Ben Simmons G Khris Middleton UTIL Eric Bledsoe SG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Luke Kornet,F,30.29%,12.75
5,1365321324,MillionaireMatt89,0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Royce O'Neale,SF,21.85%,32.75
