Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (11924709),Kevin Durant,11924709,SF/PF/F/UTIL,10100,NY@GS 01/08/2019 10:30PM ET,GS,50.5
PG/SG,Stephen Curry (11924721),Stephen Curry,11924721,PG/SG/G/UTIL,10000,NY@GS 01/08/2019 10:30PM ET,GS,47.91
PG,Kemba Walker (11924741),Kemba Walker,11924741,PG/G/UTIL,8800,CHA@LAC 01/08/2019 10:30PM ET,CHA,43.35
SF/PF,Tobias Harris (11924764),Tobias Harris,11924764,SF/PF/F/UTIL,7600,CHA@LAC 01/08/2019 10:30PM ET,LAC,36.90
SF/PF,Danilo Gallinari (11924729),Danilo Gallinari,11924729,SF/PF/F/UTIL,7300,CHA@LAC 01/08/2019 10:30PM ET,LAC,33.52
PF/C,Draymond Green (11924744),Draymond Green,11924744,PF/C/F/UTIL,7200,NY@GS 01/08/2019 10:30PM ET,GS,31.77
PG/SG,Lou Williams (11924699),Lou Williams,11924699,PG/SG/G/UTIL,6800,CHA@LAC 01/08/2019 10:30PM ET,LAC,29.77
SG,Klay Thompson (11924738),Klay Thompson,11924738,SG/G/UTIL,6800,NY@GS 01/08/2019 10:30PM ET,GS,33.73
SG/SF,Tim Hardaway Jr. (11924759),Tim Hardaway Jr.,11924759,SG/SF/F/G/UTIL,6600,NY@GS 01/08/2019 10:30PM ET,NY,31.13
PF/C,Montrezl Harrell (11924813),Montrezl Harrell,11924813,PF/C/F/UTIL,6200,CHA@LAC 01/08/2019 10:30PM ET,LAC,30.58
SG/SF,Jeremy Lamb (11924768),Jeremy Lamb,11924768,SG/SF/F/G/UTIL,6100,CHA@LAC 01/08/2019 10:30PM ET,CHA,28.23
PF/C,Noah Vonleh (11924840),Noah Vonleh,11924840,PF/C/F/UTIL,6100,NY@GS 01/08/2019 10:30PM ET,NY,26.68
PF/C,DeMarcus Cousins (11924752),DeMarcus Cousins,11924752,PF/C/F/UTIL,6000,NY@GS 01/08/2019 10:30PM ET,GS,0
PG,Emmanuel Mudiay (11924874),Emmanuel Mudiay,11924874,PG/G/UTIL,5800,NY@GS 01/08/2019 10:30PM ET,NY,26.28
SF/PF,Kevin Knox (11924909),Kevin Knox,11924909,SF/PF/F/UTIL,5700,NY@GS 01/08/2019 10:30PM ET,NY,20.82
C,Enes Kanter (11924778),Enes Kanter,11924778,C/UTIL,5500,NY@GS 01/08/2019 10:30PM ET,NY,32.77
SF/PF,Marvin Williams (11924690),Marvin Williams,11924690,SF/PF/F/UTIL,5300,CHA@LAC 01/08/2019 10:30PM ET,CHA,22.76
SG/SF,Nicolas Batum (11924733),Nicolas Batum,11924733,SG/SF/F/G/UTIL,4700,CHA@LAC 01/08/2019 10:30PM ET,CHA,22.92
C,Marcin Gortat (11924703),Marcin Gortat,11924703,C/UTIL,4600,CHA@LAC 01/08/2019 10:30PM ET,LAC,16.27
PF/C,Luke Kornet (11924832),Luke Kornet,11924832,PF/C/F/UTIL,4600,NY@GS 01/08/2019 10:30PM ET,NY,13.79
C,Bismack Biyombo (11924784),Bismack Biyombo,11924784,C/UTIL,4500,CHA@LAC 01/08/2019 10:30PM ET,CHA,10.48
C,Guillermo Hernangomez (11924851),Guillermo Hernangomez,11924851,C/UTIL,4400,CHA@LAC 01/08/2019 10:30PM ET,CHA,16.98
PG/SG,Shai Gilgeous-Alexander (11924913),Shai Gilgeous-Alexander,11924913,PG/SG/G/UTIL,4400,CHA@LAC 01/08/2019 10:30PM ET,LAC,20.68
PG/SG,Patrick Beverley (11924717),Patrick Beverley,11924717,PG/SG/G/UTIL,4000,CHA@LAC 01/08/2019 10:30PM ET,LAC,18.77
C,Cody Zeller (11924789),Cody Zeller,11924789,C/UTIL,4000,CHA@LAC 01/08/2019 10:30PM ET,CHA,22.84
PG/SG,Devonte' Graham (11924857),Devonte' Graham,11924857,PG/SG/G/UTIL,4000,CHA@LAC 01/08/2019 10:30PM ET,CHA,11.16
PF/C,Kevon Looney (11924866),Kevon Looney,11924866,PF/C/F/UTIL,4000,NY@GS 01/08/2019 10:30PM ET,GS,18.13
SG/SF,Andre Iguodala (11924682),Andre Iguodala,11924682,SG/SF/F/G/UTIL,3800,NY@GS 01/08/2019 10:30PM ET,GS,17.24
PG,Tony Parker (11924679),Tony Parker,11924679,PG/G/UTIL,3500,CHA@LAC 01/08/2019 10:30PM ET,CHA,17.9
PG/SG,Malik Monk (11924901),Malik Monk,11924901,PG/SG/G/UTIL,3500,CHA@LAC 01/08/2019 10:30PM ET,CHA,17.33
SG,Avery Bradley (11924756),Avery Bradley,11924756,SG/G/UTIL,3400,CHA@LAC 01/08/2019 10:30PM ET,LAC,15.20
C,Boban Marjanovic (11924776),Boban Marjanovic,11924776,C/UTIL,3400,CHA@LAC 01/08/2019 10:30PM ET,LAC,15.28
PF/C,Jonas Jerebko (11924748),Jonas Jerebko,11924748,PF/C/F/UTIL,3400,NY@GS 01/08/2019 10:30PM ET,GS,17.74
PG/SG,Trey Burke (11924795),Trey Burke,11924795,PG/SG/G/UTIL,3400,NY@GS 01/08/2019 10:30PM ET,NY,19.51
SG/SF,Damyean Dotson (11924808),Damyean Dotson,11924808,SG/SF/F/G/UTIL,3400,NY@GS 01/08/2019 10:30PM ET,NY,18.58
SF/PF,Michael Kidd-Gilchrist (11924791),Michael Kidd-Gilchrist,11924791,SF/PF/F/UTIL,3300,CHA@LAC 01/08/2019 10:30PM ET,CHA,17.84
SF/PF,Miles Bridges (11924897),Miles Bridges,11924897,SF/PF/F/UTIL,3300,CHA@LAC 01/08/2019 10:30PM ET,CHA,15.16
PG,Shaun Livingston (11924687),Shaun Livingston,11924687,PG/G/UTIL,3300,NY@GS 01/08/2019 10:30PM ET,GS,12.2
PG/SG,Frank Ntilikina (11924905),Frank Ntilikina,11924905,PG/SG/G/UTIL,3300,NY@GS 01/08/2019 10:30PM ET,NY,13.89
PF/C,Jordan Bell (11924821),Jordan Bell,11924821,PF/C/F/UTIL,3200,NY@GS 01/08/2019 10:30PM ET,GS,9.96
SF/PF,Mario Hezonja (11924853),Mario Hezonja,11924853,SF/PF/F/UTIL,3200,NY@GS 01/08/2019 10:30PM ET,NY,14.12
PG/SG,Allonzo Trier (11924882),Allonzo Trier,11924882,PG/SG/G/UTIL,3200,NY@GS 01/08/2019 10:30PM ET,NY,17.17
PG/SG,Tyrone Wallace (11924817),Tyrone Wallace,11924817,PG/SG/G/UTIL,3100,CHA@LAC 01/08/2019 10:30PM ET,LAC,8.30
SG/SF,Courtney Lee (11924694),Courtney Lee,11924694,SG/SF/F/G/UTIL,3100,NY@GS 01/08/2019 10:30PM ET,NY,12.45
PG,Quinn Cook (11924786),Quinn Cook,11924786,PG/G/UTIL,3100,NY@GS 01/08/2019 10:30PM ET,GS,14.93
C,Mitchell Robinson (11924917),Mitchell Robinson,11924917,C/UTIL,3100,NY@GS 01/08/2019 10:30PM ET,NY,15.28
SF/PF,Luc Richard Mbah a Moute (11924705),Luc Richard Mbah a Moute,11924705,SF/PF/F/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,8.94
SF/PF,Mike Scott (11924725),Mike Scott,11924725,SF/PF/F/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,11.78
PG,Milos Teodosic (11924773),Milos Teodosic,11924773,PG/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,7.9
PF/C,Frank Kaminsky (11924799),Frank Kaminsky,11924799,PF/C/F/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,CHA,11.70
SG/SF,Sindarius Thornwell (11924825),Sindarius Thornwell,11924825,SG/SF/F/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,3.63
PF/C,Johnathan Motley (11924836),Johnathan Motley,11924836,PF/C/F/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,5.25
PG,Joe Chealey (11924848),Joe Chealey,11924848,PG/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,CHA,0
C,Angel Delgado (11924861),Angel Delgado,11924861,C/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,0
SG,J.P. Macura (11924863),J.P. Macura,11924863,SG/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,CHA,9.5
SG/SF,Dwayne Bacon (11924877),Dwayne Bacon,11924877,SG/SF/F/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,CHA,9.72
SG,Jerome Robinson (11924894),Jerome Robinson,11924894,SG/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,4.32
SF/PF,Lance Thomas (11924713),Lance Thomas,11924713,SF/PF/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,NY,8.73
SF/PF,Alfonzo McKinnie (11924780),Alfonzo McKinnie,11924780,SF/PF/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,11.39
SG/SF,Damion Lee (11924803),Damion Lee,11924803,SG/SF/F/G/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,8.58
C,Damian Jones (11924830),Damian Jones,11924830,C/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,13.82
PF/C,Isaiah Hicks (11924844),Isaiah Hicks,11924844,PF/C/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,NY,0
PF/C,Kristaps Porzingis (11924870),Kristaps Porzingis,11924870,PF/C/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,NY,0
SF,Marcus Derrickson (11924886),Marcus Derrickson,11924886,SF/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,2.05
SG/SF,Jacob Evans III (11924889),Jacob Evans III,11924889,SG/SF/F/G/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,2.15
