Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1363274879,mazwa (7/25),0,339.5,PG James Harden SG Jrue Holiday G Donovan Mitchell UTIL Marc Gasol SF Josh Jackson F Evan Turner C Ed Davis PF Richaun Holmes,,James Harden,G,51.34%,70.75
2,1363687921,wakeywakey (7/25),21.64,336.5,SG James Harden UTIL Donovan Mitchell F Kyle Kuzma C Marc Gasol PG Jordan Clarkson G De'Anthony Melton SF Reggie Bullock PF Maxi Kleber,,Kelly Oubre Jr.,SF,37.07%,21.25
3,1363274886,mazwa (14/25),10.82,335,PG James Harden PF Anthony Davis SG Donovan Mitchell G Reggie Jackson C Ed Davis SF Furkan Korkmaz UTIL Jakob Poeltl F Richaun Holmes,,De'Anthony Melton,PG,34.39%,23.75
4,1362887097,youdacao (4/25),0,334.5,SG Bradley Beal UTIL Donovan Mitchell PF John Collins C Marc Gasol G Elfrid Payton F Joe Ingles PG Jordan Clarkson SF Furkan Korkmaz,,John Collins,PF,29.88%,51.5
5,1362887111,youdacao (18/25),10.82,330.5,F Anthony Davis G Donovan Mitchell PF John Collins C Marc Gasol SF Josh Jackson PG Raul Neto UTIL Reggie Bullock SG Kelly Oubre Jr.,,Raul Neto,UTIL,29.76%,19.25
6,1362887102,youdacao (9/25),21.64,329.25,PG James Harden G Donovan Mitchell PF John Collins C Marc Gasol UTIL Reggie Jackson SF Wesley Matthews F Reggie Bullock SG Furkan Korkmaz,,Donovan Mitchell,PG,28.66%,51.5
7,1363274885,mazwa (13/25),10.82,329,PG James Harden PF Anthony Davis UTIL Marc Gasol G Reggie Jackson SG J.J. Barea SF Kelly Oubre Jr. C Ed Davis F Maxi Kleber,,Andre Drummond,C,27.56%,37.75
8,1362993241,madoublet98 (1/2),10.82,326,F Anthony Davis C Rudy Gobert SG Donovan Mitchell PF John Collins UTIL Reggie Jackson G De'Anthony Melton PG Shabazz Napier SF Furkan Korkmaz,,D'Angelo Russell,G,26.34%,33.75
9,1363172856,ragingphilip (22/25),0,325.25,PG James Harden PF Giannis Antetokounmpo C Marc Gasol SF Josh Jackson G J.J. Barea SG Evan Turner UTIL Richaun Holmes F Maxi Kleber,,Furkan Korkmaz,SF,25.24%,30.25
10,1363145856,fjbourne (3/4),10.82,321.75,UTIL James Harden SG D'Angelo Russell PF Kyle Kuzma C Marc Gasol G Jordan Clarkson PG Shabazz Napier F Kelly Oubre Jr. SF Furkan Korkmaz,,Domantas Sabonis,PF,23.90%,35.75
11,1363759367,adambrown24,10.82,321.5,PF Giannis Antetokounmpo G Donovan Mitchell C John Collins UTIL Kyle Kuzma PG Malcolm Brogdon SG Austin Rivers F Kelly Oubre Jr. SF Furkan Korkmaz,,Marc Gasol,C,21.59%,54.5
11,1363687929,wakeywakey (15/25),0,321.5,SG James Harden UTIL Donovan Mitchell C Marc Gasol SF Khris Middleton F Joe Ingles PG Austin Rivers G De'Anthony Melton PF Maxi Kleber,,Rudy Gobert,C,17.93%,37.5
13,1362935837,donkosaurus (4/5),0,320,SG James Harden PF Giannis Antetokounmpo G Donovan Mitchell PG De'Anthony Melton UTIL J.J. Barea C Ed Davis SF Furkan Korkmaz F Richaun Holmes,,Austin Rivers,SG,17.80%,24
14,1363172850,ragingphilip (16/25),0,319.5,PG James Harden PF Anthony Davis UTIL Marc Gasol SF Cedi Osman G J.J. Barea SG Evan Turner C Ed Davis F Richaun Holmes,,Blake Griffin,F,16.71%,22
15,1363172836,ragingphilip (2/25),0,319,PG James Harden UTIL Clint Capela PF Domantas Sabonis C Marc Gasol SG Jordan Clarkson G Evan Turner SF Kelly Oubre Jr. F Richaun Holmes,,Reggie Bullock,SF,16.10%,17.75
16,1363521421,billsfan777,10.82,318.75,SF Luka Doncic PG Donovan Mitchell PF John Collins F Kyle Kuzma C Marc Gasol UTIL Tristan Thompson G Evan Turner SG Kelly Oubre Jr.,,Josh Jackson,SF,15.37%,36.5
17,1363404588,ebor1973 (5/6),0,318.5,PG James Harden PF Giannis Antetokounmpo C Marc Gasol SG Austin Rivers F P.J. Tucker SF Rodions Kurucs UTIL Kelly Oubre Jr. G Furkan Korkmaz,,J.J. Barea,UTIL,14.51%,12.5
18,1362887117,youdacao (24/25),10.82,318,PG James Harden G Donovan Mitchell PF John Collins C Marc Gasol UTIL Reggie Jackson SG J.J. Barea F Evan Turner SF Furkan Korkmaz,,Joe Ingles,SF,13.90%,33
18,1363172846,ragingphilip (12/25),0,318,PG James Harden PF Anthony Davis C Marc Gasol SG Jordan Clarkson G Evan Turner SF Garrett Temple UTIL Jakob Poeltl F Richaun Holmes,,Kyle Kuzma,PF,13.78%,45
20,1363316189,chess_is_ok (24/25),0,316.75,PG James Harden UTIL Donovan Mitchell C Marc Gasol F Joe Ingles PF Dewayne Dedmon SG Jordan Clarkson G Raul Neto SF Kelly Oubre Jr.,,Evan Turner,SF,12.80%,19
21,1362789232,JoeBucksSafeWord (2/3),0,316.25,SG James Harden F Ben Simmons C Marc Gasol SF Aaron Gordon UTIL Jordan Clarkson G Kelly Oubre Jr. PG Cory Joseph PF Richaun Holmes,,Jordan Clarkson,UTIL,12.32%,41
22,1362887104,youdacao (11/25),0,316,PG James Harden F Anthony Davis C John Collins G De'Anthony Melton UTIL Evan Turner SF Kelly Oubre Jr. SG Furkan Korkmaz PF Kyle O'Quinn,,Reggie Jackson,G,12.20%,28
23,1362887101,youdacao (8/25),10.82,314.75,F Anthony Davis C Rudy Gobert G Donovan Mitchell PF John Collins UTIL Reggie Jackson SG J.J. Barea PG Shabazz Napier SF Furkan Korkmaz,,Clint Capela,C,12.20%,39.75
24,1362946730,petteytheft89 (7/25),21.64,314.25,PG James Harden SG Donovan Mitchell F Kyle Kuzma C Marc Gasol UTIL JaVale McGee G Raul Neto SF Furkan Korkmaz PF Jonathan Isaac,,Jakob Poeltl,C,11.71%,7.75
25,1362887113,youdacao (20/25),10.82,313.75,F Anthony Davis UTIL Andre Drummond PF John Collins C Marc Gasol G De'Anthony Melton SG J.J. Barea PG Shabazz Napier SF Furkan Korkmaz,,Giannis Antetokounmpo,F,11.22%,62.75
26,1363316172,chess_is_ok (7/25),0,313.5,SG James Harden G Donovan Mitchell UTIL DeAndre Jordan C Marc Gasol PF Dewayne Dedmon F P.J. Tucker PG Shabazz Napier SF Furkan Korkmaz,,Shabazz Napier,UTIL,11.10%,25.25
27,1363088622,Trok1,21.64,313,UTIL Andre Drummond SG D'Angelo Russell PF John Collins F Kyle Kuzma C Marc Gasol PG Jordan Clarkson G Raul Neto SF Furkan Korkmaz,,Bruce Brown Jr.,SG,10.00%,8.25
28,1363274876,mazwa (4/25),21.64,311.75,SG James Harden UTIL Andre Drummond C Marc Gasol SF Khris Middleton G Reggie Jackson PG Jeremy Lin F Kelly Oubre Jr. PF Richaun Holmes,,Dewayne Dedmon,PF,9.51%,25.5
29,1363274893,mazwa (21/25),0,311.25,SG James Harden UTIL Rudy Gobert G Mike Conley C Marc Gasol F Josh Jackson PG Shabazz Napier SF Kelly Oubre Jr. PF Richaun Holmes,,Khris Middleton,SF,9.27%,31.75
30,1363274873,mazwa (1/25),21.64,310.5,PG James Harden UTIL Andre Drummond SG Donovan Mitchell C Marc Gasol G Reggie Jackson F Kelly Oubre Jr. SF Garrett Temple PF Richaun Holmes,,Cedi Osman,PF,8.41%,16
31,1363687937,wakeywakey (23/25),32.46,310.25,SG James Harden G Donovan Mitchell PF Kyle Kuzma C Marc Gasol UTIL Reggie Jackson PG De'Anthony Melton F Reggie Bullock SF Evan Turner,,Bradley Beal,SG,8.29%,49
32,1363687925,wakeywakey (11/25),10.82,309.75,G James Harden PF Kyle Kuzma C Marc Gasol SF Khris Middleton PG Jordan Clarkson SG Austin Rivers UTIL De'Anthony Melton F Evan Turner,,Jaren Jackson Jr.,F,8.17%,16
