NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameandTeam
201566,Russell Westbrook,OKC,30.0,1.0,0.0,1.0,50.0,24.0,11.0,22.0,50.0,0.0,4.0,0.0,2.0,5.0,40.0,2.0,11.0,13.0,24.0,3.0,2.0,0.0,4.0,78.6,1.0,1.0,-5,1,1,1,0,0,3,1,1,83.25,Russell WestbrookOKC
200746,LaMarcus Aldridge,SAS,33.0,1.0,1.0,0.0,49.0,56.0,20.0,33.0,60.6,0.0,0.0,0.0,16.0,16.0,100.0,4.0,5.0,9.0,4.0,5.0,0.0,4.0,2.0,79.8,0.0,0.0,7.0,1,0,0,0,0,1,0,0,78.75,LaMarcus AldridgeSAS
203999,Nikola Jokic,DEN,23.0,1.0,1.0,0.0,28.0,18.0,8.0,19.0,42.1,0.0,5.0,0.0,2.0,3.0,66.7,5.0,9.0,14.0,10.0,1.0,0.0,2.0,3.0,54.8,1.0,1.0,6.0,1,1,1,0,0,3,1,1,58.5,Nikola JokicDEN
202331,Paul George,OKC,28.0,1.0,0.0,1.0,47.0,30.0,11.0,25.0,44.0,3.0,7.0,42.9,5.0,7.0,71.4,1.0,7.0,8.0,1.0,2.0,3.0,0.0,0.0,48.1,0.0,0.0,-16,1,0,0,0,0,1,0,0,48.0,Paul GeorgeOKC
1628401,Derrick White,SAS,24.0,1.0,1.0,0.0,48.0,23.0,10.0,17.0,58.8,1.0,3.0,33.3,2.0,2.0,100.0,0.0,5.0,5.0,8.0,2.0,2.0,1.0,4.0,48.0,0.0,0.0,2.0,1,0,0,0,0,1,0,0,46.75,Derrick WhiteSAS
203924,Jerami Grant,OKC,24.0,1.0,0.0,1.0,44.0,25.0,10.0,20.0,50.0,1.0,5.0,20.0,4.0,6.0,66.7,5.0,7.0,12.0,1.0,3.0,0.0,3.0,6.0,46.9,1.0,0.0,-11,1,1,0,0,0,2,0,0,46.5,Jerami GrantOKC
201942,DeMar DeRozan,SAS,29.0,1.0,1.0,0.0,49.0,16.0,7.0,22.0,31.8,0.0,0.0,0.0,2.0,5.0,40.0,0.0,8.0,8.0,11.0,4.0,1.0,1.0,5.0,44.1,1.0,0.0,-2,1,0,1,0,0,2,0,0,44.5,DeMar DeRozanSAS
1626161,Willie Cauley-Stein,SAC,25.0,1.0,1.0,0.0,25.0,14.0,5.0,10.0,50.0,0.0,0.0,0.0,4.0,6.0,66.7,5.0,9.0,14.0,5.0,3.0,0.0,2.0,4.0,41.3,1.0,0.0,17.0,1,1,0,0,0,2,0,0,41.5,Willie Cauley-SteinSAC
203486,Mason Plumlee,DEN,28.0,1.0,1.0,0.0,20.0,17.0,7.0,8.0,87.5,0.0,0.0,0.0,3.0,5.0,60.0,3.0,9.0,12.0,5.0,2.0,0.0,1.0,4.0,39.9,1.0,0.0,15.0,1,1,0,0,0,2,0,0,40.5,Mason PlumleeDEN
202699,Tobias Harris,LAC,26.0,1.0,0.0,1.0,31.0,18.0,7.0,15.0,46.7,0.0,2.0,0.0,4.0,4.0,100.0,1.0,10.0,11.0,4.0,0.0,0.0,1.0,1.0,40.2,1.0,0.0,-9,1,1,0,0,0,2,0,0,39.75,Tobias HarrisLAC
202681,Kyrie Irving,BOS,26.0,1.0,0.0,1.0,35.0,22.0,10.0,19.0,52.6,2.0,6.0,33.3,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,38.5,0.0,0.0,-11,1,0,0,0,0,1,0,0,39.25,Kyrie IrvingBOS
1626159,Justise Winslow,MIA,22.0,1.0,1.0,0.0,32.0,13.0,5.0,9.0,55.6,2.0,4.0,50.0,1.0,2.0,50.0,2.0,5.0,7.0,11.0,1.0,0.0,0.0,2.0,36.9,1.0,0.0,9.0,1,0,1,0,0,2,0,0,38.75,Justise WinslowMIA
203500,Steven Adams,OKC,25.0,1.0,0.0,1.0,38.0,19.0,8.0,13.0,61.5,0.0,0.0,0.0,3.0,4.0,75.0,4.0,3.0,7.0,1.0,2.0,2.0,2.0,5.0,38.9,0.0,0.0,-4,1,0,0,0,0,1,0,0,36.25,Steven AdamsOKC
202694,Marcus Morris,BOS,29.0,1.0,0.0,1.0,29.0,17.0,7.0,13.0,53.8,3.0,5.0,60.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,0.0,34.7,0.0,0.0,3.0,1,0,0,0,0,1,0,0,33.5,Marcus MorrisBOS
1626196,Josh Richardson,MIA,25.0,1.0,1.0,0.0,34.0,18.0,7.0,13.0,53.8,4.0,8.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,30.6,0.0,0.0,9.0,1,0,0,0,0,1,0,0,32.75,Josh RichardsonMIA
1627750,Jamal Murray,DEN,21.0,1.0,1.0,0.0,32.0,23.0,10.0,16.0,62.5,2.0,4.0,50.0,1.0,1.0,100.0,2.0,4.0,6.0,2.0,4.0,0.0,0.0,2.0,29.2,0.0,0.0,19.0,1,0,0,0,0,1,0,0,32.5,Jamal MurrayDEN
1628389,Bam Adebayo,MIA,21.0,1.0,1.0,0.0,27.0,8.0,3.0,5.0,60.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,6.0,7.0,5.0,0.0,2.0,2.0,1.0,35.9,0.0,0.0,9.0,0,0,0,0,0,0,0,0,32.25,Bam AdebayoMIA
201988,Patty Mills,SAS,30.0,1.0,1.0,0.0,29.0,14.0,5.0,7.0,71.4,3.0,4.0,75.0,1.0,1.0,100.0,0.0,3.0,3.0,6.0,1.0,2.0,0.0,4.0,31.6,0.0,0.0,1.0,1,0,0,0,0,1,0,0,31.75,Patty MillsSAS
