Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (11943305),Russell Westbrook,11943305,PG/G/UTIL,11800,SA@OKC 01/12/2019 08:00PM ET,OKC,57.08
PF/C,Anthony Davis (11943308),Anthony Davis,11943308,PF/C/F/UTIL,11700,NO@MIN 01/12/2019 08:00PM ET,NO,61.68
C,Nikola Jokic (11943312),Nikola Jokic,11943312,C/UTIL,10800,DEN@PHO 01/12/2019 09:00PM ET,DEN,47.96
C,Karl-Anthony Towns (11943314),Karl-Anthony Towns,11943314,C/UTIL,9900,NO@MIN 01/12/2019 08:00PM ET,MIN,48
SF/PF,Paul George (11943316),Paul George,11943316,SF/PF/F/UTIL,9500,SA@OKC 01/12/2019 08:00PM ET,OKC,49.04
C,Nikola Vucevic (11943320),Nikola Vucevic,11943320,C/UTIL,8800,BOS@ORL 01/12/2019 07:00PM ET,ORL,45.7
PG,Kyrie Irving (11943322),Kyrie Irving,11943322,PG/G/UTIL,8700,BOS@ORL 01/12/2019 07:00PM ET,BOS,42.70
PG/SG,Devin Booker (11943325),Devin Booker,11943325,PG/SG/G/UTIL,8600,DEN@PHO 01/12/2019 09:00PM ET,PHO,41.80
PG/SG,Donovan Mitchell (11943329),Donovan Mitchell,11943329,PG/SG/G/UTIL,8500,CHI@UTA 01/12/2019 10:00PM ET,UTA,34.54
PG,Kemba Walker (11943333),Kemba Walker,11943333,PG/G/UTIL,8400,CHA@SAC 01/12/2019 10:00PM ET,CHA,42.63
SG/SF,DeMar DeRozan (11943336),DeMar DeRozan,11943336,SG/SF/F/G/UTIL,8300,SA@OKC 01/12/2019 08:00PM ET,SA,41.84
C,Rudy Gobert (11943341),Rudy Gobert,11943341,C/UTIL,8200,CHI@UTA 01/12/2019 10:00PM ET,UTA,39.54
PF/C,LaMarcus Aldridge (11943343),LaMarcus Aldridge,11943343,PF/C/F/UTIL,8100,SA@OKC 01/12/2019 08:00PM ET,SA,37.92
PG,De'Aaron Fox (11943347),De'Aaron Fox,11943347,PG/G/UTIL,7900,CHA@SAC 01/12/2019 10:00PM ET,SAC,37.29
PG/SG,Jrue Holiday (11943350),Jrue Holiday,11943350,PG/SG/G/UTIL,7800,NO@MIN 01/12/2019 08:00PM ET,NO,43.24
PG/SG,Jamal Murray (11943354),Jamal Murray,11943354,PG/SG/G/UTIL,7400,DEN@PHO 01/12/2019 09:00PM ET,DEN,33.79
PF/C,Julius Randle (11943358),Julius Randle,11943358,PF/C/F/UTIL,7300,NO@MIN 01/12/2019 08:00PM ET,NO,37.91
C,Deandre Ayton (11943362),Deandre Ayton,11943362,C/UTIL,7100,DEN@PHO 01/12/2019 09:00PM ET,PHO,36.28
SG/SF,Andrew Wiggins (11943364),Andrew Wiggins,11943364,SG/SF/F/G/UTIL,7000,NO@MIN 01/12/2019 08:00PM ET,MIN,29.98
C,Willie Cauley-Stein (11943369),Willie Cauley-Stein,11943369,C/UTIL,6900,CHA@SAC 01/12/2019 10:00PM ET,SAC,32.25
SF/PF,T.J. Warren (11943371),T.J. Warren,11943371,SF/PF/F/UTIL,6800,DEN@PHO 01/12/2019 09:00PM ET,PHO,30.15
C,Steven Adams (11943375),Steven Adams,11943375,C/UTIL,6700,SA@OKC 01/12/2019 08:00PM ET,OKC,35.06
PG,Jeff Teague (11943377),Jeff Teague,11943377,PG/G/UTIL,6600,NO@MIN 01/12/2019 08:00PM ET,MIN,30.5
SG/SF,Buddy Hield (11943380),Buddy Hield,11943380,SG/SF/F/G/UTIL,6500,CHA@SAC 01/12/2019 10:00PM ET,SAC,32.01
SF/PF,Aaron Gordon (11943385),Aaron Gordon,11943385,SF/PF/F/UTIL,6400,BOS@ORL 01/12/2019 07:00PM ET,ORL,32.90
PG/SG,Kris Dunn (11943389),Kris Dunn,11943389,PG/SG/G/UTIL,6300,CHI@UTA 01/12/2019 10:00PM ET,CHI,31.47
PF/C,Paul Millsap (11943393),Paul Millsap,11943393,PF/C/F/UTIL,6200,DEN@PHO 01/12/2019 09:00PM ET,DEN,28.86
PG/SG,Derrick Rose (11943397),Derrick Rose,11943397,PG/SG/G/UTIL,6100,NO@MIN 01/12/2019 08:00PM ET,MIN,31.67
PG/SG,Zach LaVine (11943401),Zach LaVine,11943401,PG/SG/G/UTIL,6100,CHI@UTA 01/12/2019 10:00PM ET,CHI,37.22
SF/PF,Robert Covington (11943413),Robert Covington,11943413,SF/PF/F/UTIL,6000,NO@MIN 01/12/2019 08:00PM ET,MIN,29.69
SG/SF,Joe Ingles (11943405),Joe Ingles,11943405,SG/SF/F/G/UTIL,6000,CHI@UTA 01/12/2019 10:00PM ET,UTA,27.38
PF,Lauri Markkanen (11943410),Lauri Markkanen,11943410,PF/F/UTIL,6000,CHI@UTA 01/12/2019 10:00PM ET,CHI,31.10
PF/C,Nikola Mirotic (11943417),Nikola Mirotic,11943417,PF/C/F/UTIL,5900,NO@MIN 01/12/2019 08:00PM ET,NO,34.20
SG/SF,Bogdan Bogdanovic (11943421),Bogdan Bogdanovic,11943421,SG/SF/F/G/UTIL,5900,CHA@SAC 01/12/2019 10:00PM ET,SAC,27.96
SF/PF,Jayson Tatum (11943426),Jayson Tatum,11943426,SF/PF/F/UTIL,5800,BOS@ORL 01/12/2019 07:00PM ET,BOS,30.39
SF/PF,Marcus Morris (11943430),Marcus Morris,11943430,SF/PF/F/UTIL,5700,BOS@ORL 01/12/2019 07:00PM ET,BOS,27.5
PG,Elfrid Payton (11943438),Elfrid Payton,11943438,PG/G/UTIL,5600,NO@MIN 01/12/2019 08:00PM ET,NO,25.73
PF/C,Al Horford (11943441),Al Horford,11943441,PF/C/F/UTIL,5600,BOS@ORL 01/12/2019 07:00PM ET,BOS,29.38
SF/PF,Josh Jackson (11943434),Josh Jackson,11943434,SF/PF/F/UTIL,5600,DEN@PHO 01/12/2019 09:00PM ET,PHO,20.20
SF/PF,Gordon Hayward (11943453),Gordon Hayward,11943453,SF/PF/F/UTIL,5500,BOS@ORL 01/12/2019 07:00PM ET,BOS,25.07
PG,Ricky Rubio (11943445),Ricky Rubio,11943445,PG/G/UTIL,5500,CHI@UTA 01/12/2019 10:00PM ET,UTA,28.92
