,model,lineupNum,team,player_name,concatNameTeam
0,A_pydfs_1.00_Exp,1,NOP,Jrue Holiday,Jrue HolidayNOP
1,A_pydfs_1.00_Exp,1,CHI,Zach LaVine,Zach LaVineCHI
2,A_pydfs_1.00_Exp,1,DEN,Will Barton,Will BartonDEN
3,A_pydfs_1.00_Exp,1,NOP,Anthony Davis,Anthony DavisNOP
4,A_pydfs_1.00_Exp,1,SAS,Pau Gasol,Pau GasolSAS
5,A_pydfs_1.00_Exp,1,OKC,Dennis Schroder,Dennis SchroderOKC
6,A_pydfs_1.00_Exp,1,NOP,Nikola Mirotic,Nikola MiroticNOP
7,A_pydfs_1.00_Exp,1,BOS,Al Horford,Al HorfordBOS
8,A_pydfs_1.00_Exp,2,NOP,Jrue Holiday,Jrue HolidayNOP
9,A_pydfs_1.00_Exp,2,CHI,Zach LaVine,Zach LaVineCHI
10,A_pydfs_1.00_Exp,2,DEN,Will Barton,Will BartonDEN
11,A_pydfs_1.00_Exp,2,NOP,Anthony Davis,Anthony DavisNOP
12,A_pydfs_1.00_Exp,2,NOP,Nikola Mirotic,Nikola MiroticNOP
13,A_pydfs_1.00_Exp,2,OKC,Dennis Schroder,Dennis SchroderOKC
14,A_pydfs_1.00_Exp,2,CHI,Bobby Portis,Bobby PortisCHI
15,A_pydfs_1.00_Exp,2,ORL,Terrence Ross,Terrence RossORL
16,A_pydfs_1.00_Exp,3,DEN,Monte Morris,Monte MorrisDEN
17,A_pydfs_1.00_Exp,3,NOP,Jrue Holiday,Jrue HolidayNOP
18,A_pydfs_1.00_Exp,3,DEN,Will Barton,Will BartonDEN
19,A_pydfs_1.00_Exp,3,NOP,Anthony Davis,Anthony DavisNOP
20,A_pydfs_1.00_Exp,3,NOP,Nikola Mirotic,Nikola MiroticNOP
21,A_pydfs_1.00_Exp,3,CHI,Zach LaVine,Zach LaVineCHI
22,A_pydfs_1.00_Exp,3,CHI,Bobby Portis,Bobby PortisCHI
23,A_pydfs_1.00_Exp,3,OKC,Dennis Schroder,Dennis SchroderOKC
24,A_pydfs_1.00_Exp,4,CHI,Zach LaVine,Zach LaVineCHI
25,A_pydfs_1.00_Exp,4,DEN,Will Barton,Will BartonDEN
26,A_pydfs_1.00_Exp,4,ORL,Evan Fournier,Evan FournierORL
27,A_pydfs_1.00_Exp,4,NOP,Anthony Davis,Anthony DavisNOP
28,A_pydfs_1.00_Exp,4,SAS,Pau Gasol,Pau GasolSAS
29,A_pydfs_1.00_Exp,4,OKC,Dennis Schroder,Dennis SchroderOKC
30,A_pydfs_1.00_Exp,4,NOP,Nikola Mirotic,Nikola MiroticNOP
31,A_pydfs_1.00_Exp,4,ORL,Nikola Vucevic,Nikola VucevicORL
