NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameTeam
1626157,Karl-Anthony Towns,MIN,23,1,1,0,37,27,10,23,43.5,3,8,37.5,4,6,66.7,9,18,27,3,3,2,4,4,78.9,1,0,7,1,1,0,0,0,2,0,0,77.25,Karl-Anthony TownsMIN
201933,Blake Griffin,DET,29,1,1,0,40,44,13,23,56.5,5,13,38.5,13,14,92.9,0,8,8,5,4,3,1,4,69.1,0,0,11,1,0,0,0,0,1,0,0,70,Blake GriffinDET
1628378,Donovan Mitchell,UTA,22,1,1,0,38,34,11,24,45.8,4,13,30.8,8,10,80,0,6,6,6,2,0,2,2,54.2,0,0,20,1,0,0,0,0,1,0,0,55.5,Donovan MitchellUTA
203083,Andre Drummond,DET,25,1,1,0,42,20,8,13,61.5,0,1,0,4,5,80,9,12,21,0,3,3,1,3,54.2,1,0,18,1,1,0,0,0,2,0,0,52.75,Andre DrummondDET
203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52,Anthony DavisNOP
1626162,Kelly Oubre Jr.,PHX,23,1,1,0,30,26,9,17,52.9,4,7,57.1,4,6,66.7,3,8,11,3,3,2,1,1,49.7,1,0,9,1,1,0,0,0,2,0,0,50.75,Kelly Oubre Jr.PHX
203497,Rudy Gobert,UTA,26,1,1,0,40,15,5,6,83.3,0,0,0,5,9,55.6,5,11,16,8,5,1,2,5,50.2,1,0,19,1,1,0,0,0,2,0,0,50.5,Rudy GobertUTA
1626149,Montrezl Harrell,LAC,24,1,0,1,34,21,8,14,57.1,0,0,0,5,6,83.3,3,6,9,6,2,1,4,4,53.8,0,0,-1,1,0,0,0,0,1,0,0,50.25,Montrezl HarrellLAC
201566,Russell Westbrook,OKC,30,1,1,0,33,24,9,24,37.5,1,2,50,5,5,100,2,8,10,7,4,2,0,4,48.5,1,0,7,1,1,0,0,0,2,0,0,49.5,Russell WestbrookOKC
202681,Kyrie Irving,BOS,26,1,0,1,33,25,7,16,43.8,0,5,0,11,13,84.6,0,5,5,6,1,2,1,0,48,0,0,13,1,0,0,0,0,1,0,0,45.75,Kyrie IrvingBOS
203932,Aaron Gordon,ORL,23,1,1,0,37,28,7,14,50,1,5,20,13,13,100,2,10,12,2,6,0,1,3,42.4,1,0,11,1,1,0,0,0,2,0,0,45.5,Aaron GordonORL
201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0,1,1,100,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5,Jrue HolidayNOP
1629028,Deandre Ayton,PHX,20,1,1,0,30,22,9,18,50,0,0,0,4,6,66.7,4,9,13,0,0,0,3,2,46.6,1,0,10,1,1,0,0,0,2,0,0,44.25,Deandre AytonPHX
1626159,Justise Winslow,MIA,22,1,1,0,34,26,10,16,62.5,4,4,100,2,2,100,0,7,7,4,2,1,0,2,41.4,0,0,23,1,0,0,0,0,1,0,0,43.75,Justise WinslowMIA
1628368,De'Aaron Fox,SAC,21,1,1,0,30,21,6,15,40,1,4,25,8,9,88.9,2,5,7,4,2,3,1,2,45.4,0,0,1,1,0,0,0,0,1,0,0,43.25,De'Aaron FoxSAC
203999,Nikola Jokic,DEN,23,1,0,1,34,23,8,15,53.3,1,4,25,6,7,85.7,1,9,10,4,2,0,1,0,42,1,0,8,1,1,0,0,0,2,0,0,43,Nikola JokicDEN
202331,Paul George,OKC,28,1,1,0,34,18,5,17,29.4,2,7,28.6,6,6,100,0,11,11,4,2,2,0,1,41.2,1,0,15,1,1,0,0,0,2,0,0,41.75,Paul GeorgeOKC
201144,Mike Conley,MEM,31,1,0,1,35,22,7,15,46.7,3,5,60,5,6,83.3,2,0,2,7,2,3,0,3,41.9,0,0,-7,1,0,0,0,0,1,0,0,41.5,Mike ConleyMEM
