Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11917352),LeBron James,11917352,CPT,18600,LAL@DAL 01/07/2019 08:30PM ET,LAL,52.73
SG/SF,Luka Doncic (11917353),Luka Doncic,11917353,CPT,15600,LAL@DAL 01/07/2019 08:30PM ET,DAL,37.51
PG/SG,Brandon Ingram (11917354),Brandon Ingram,11917354,CPT,15300,LAL@DAL 01/07/2019 08:30PM ET,LAL,27.32
SF/PF,Kyle Kuzma (11917355),Kyle Kuzma,11917355,CPT,14700,LAL@DAL 01/07/2019 08:30PM ET,LAL,31.55
PG,Lonzo Ball (11917356),Lonzo Ball,11917356,CPT,13500,LAL@DAL 01/07/2019 08:30PM ET,LAL,26.74
C,DeAndre Jordan (11917357),DeAndre Jordan,11917357,CPT,12900,LAL@DAL 01/07/2019 08:30PM ET,DAL,34.85
SF/PF,LeBron James (11917318),LeBron James,11917318,UTIL,12400,LAL@DAL 01/07/2019 08:30PM ET,LAL,52.73
PG/SG,Josh Hart (11917358),Josh Hart,11917358,CPT,12000,LAL@DAL 01/07/2019 08:30PM ET,LAL,20.09
SG/SF,Kentavious Caldwell-Pope (11917359),Kentavious Caldwell-Pope,11917359,CPT,11400,LAL@DAL 01/07/2019 08:30PM ET,LAL,17.12
C,JaVale McGee (11917360),JaVale McGee,11917360,CPT,11100,LAL@DAL 01/07/2019 08:30PM ET,LAL,27.23
SF/PF,Harrison Barnes (11917361),Harrison Barnes,11917361,CPT,10500,LAL@DAL 01/07/2019 08:30PM ET,DAL,27.91
SG/SF,Luka Doncic (11917319),Luka Doncic,11917319,UTIL,10400,LAL@DAL 01/07/2019 08:30PM ET,DAL,37.51
PG/SG,Brandon Ingram (11917320),Brandon Ingram,11917320,UTIL,10200,LAL@DAL 01/07/2019 08:30PM ET,LAL,27.32
PG,Rajon Rondo (11917362),Rajon Rondo,11917362,CPT,10200,LAL@DAL 01/07/2019 08:30PM ET,LAL,25.75
PG,Dennis Smith Jr. (11917363),Dennis Smith Jr.,11917363,CPT,9900,LAL@DAL 01/07/2019 08:30PM ET,DAL,24.45
SF/PF,Kyle Kuzma (11917321),Kyle Kuzma,11917321,UTIL,9800,LAL@DAL 01/07/2019 08:30PM ET,LAL,31.55
SG/SF,Lance Stephenson (11917364),Lance Stephenson,11917364,CPT,9300,LAL@DAL 01/07/2019 08:30PM ET,LAL,16.38
PG,Lonzo Ball (11917322),Lonzo Ball,11917322,UTIL,9000,LAL@DAL 01/07/2019 08:30PM ET,LAL,26.74
PG/SG,J.J. Barea (11917365),J.J. Barea,11917365,CPT,9000,LAL@DAL 01/07/2019 08:30PM ET,DAL,23.51
SG/SF,Wesley Matthews (11917366),Wesley Matthews,11917366,CPT,8700,LAL@DAL 01/07/2019 08:30PM ET,DAL,23.10
C,DeAndre Jordan (11917323),DeAndre Jordan,11917323,UTIL,8600,LAL@DAL 01/07/2019 08:30PM ET,DAL,34.85
PG/SG,Josh Hart (11917324),Josh Hart,11917324,UTIL,8000,LAL@DAL 01/07/2019 08:30PM ET,LAL,20.09
PG,Jalen Brunson (11917367),Jalen Brunson,11917367,CPT,7800,LAL@DAL 01/07/2019 08:30PM ET,DAL,12.39
SG/SF,Kentavious Caldwell-Pope (11917325),Kentavious Caldwell-Pope,11917325,UTIL,7600,LAL@DAL 01/07/2019 08:30PM ET,LAL,17.12
