Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (11923446),Russell Westbrook,11923446,PG/G/UTIL,11200,MIN@OKC 01/08/2019 08:00PM ET,OKC,56.14
C,Joel Embiid (11923449),Joel Embiid,11923449,C/UTIL,11000,WAS@PHI 01/08/2019 07:00PM ET,PHI,54.26
C,Karl-Anthony Towns (11923451),Karl-Anthony Towns,11923451,C/UTIL,10500,MIN@OKC 01/08/2019 08:00PM ET,MIN,48.16
SF/PF,Paul George (11923453),Paul George,11923453,SF/PF/F/UTIL,10300,MIN@OKC 01/08/2019 08:00PM ET,OKC,49.27
SF/PF,Kevin Durant (11923457),Kevin Durant,11923457,SF/PF/F/UTIL,10100,NY@GS 01/08/2019 10:30PM ET,GS,50.5
PG/SG,Stephen Curry (11923461),Stephen Curry,11923461,PG/SG/G/UTIL,10000,NY@GS 01/08/2019 10:30PM ET,GS,47.91
C,Nikola Jokic (11923465),Nikola Jokic,11923465,C/UTIL,9800,DEN@MIA 01/08/2019 07:30PM ET,DEN,47.20
SF/PF,Kawhi Leonard (11923467),Kawhi Leonard,11923467,SF/PF/F/UTIL,9600,ATL@TOR 01/08/2019 07:30PM ET,TOR,46.34
PG/SF,Ben Simmons (11923471),Ben Simmons,11923471,PG/SF/F/G/UTIL,9100,WAS@PHI 01/08/2019 07:00PM ET,PHI,43.64
SG,Bradley Beal (11923476),Bradley Beal,11923476,SG/G/UTIL,8900,WAS@PHI 01/08/2019 07:00PM ET,WAS,41.55
PG,Kemba Walker (11923479),Kemba Walker,11923479,PG/G/UTIL,8800,CHA@LAC 01/08/2019 10:30PM ET,CHA,43.35
PG/SG,Devin Booker (11923482),Devin Booker,11923482,PG/SG/G/UTIL,8700,SAC@PHO 01/08/2019 09:00PM ET,PHO,41.80
PG/SG,Victor Oladipo (11923486),Victor Oladipo,11923486,PG/SG/G/UTIL,8400,IND@CLE 01/08/2019 07:00PM ET,IND,40.18
C,Deandre Ayton (11923490),Deandre Ayton,11923490,C/UTIL,8100,SAC@PHO 01/08/2019 09:00PM ET,PHO,36.69
PF/C,Kevin Love (11923492),Kevin Love,11923492,PF/C/F/UTIL,8000,IND@CLE 01/08/2019 07:00PM ET,CLE,42.88
PG,Kyle Lowry (11923496),Kyle Lowry,11923496,PG/G/UTIL,7700,ATL@TOR 01/08/2019 07:30PM ET,TOR,38.65
SF/PF,Tobias Harris (11923499),Tobias Harris,11923499,SF/PF/F/UTIL,7600,CHA@LAC 01/08/2019 10:30PM ET,LAC,36.90
SG/SF,Jimmy Butler (11923503),Jimmy Butler,11923503,SG/SF/F/G/UTIL,7500,WAS@PHI 01/08/2019 07:00PM ET,PHI,35.97
PF/C,Domantas Sabonis (11923508),Domantas Sabonis,11923508,PF/C/F/UTIL,7400,IND@CLE 01/08/2019 07:00PM ET,IND,33.21
SG/SF,Buddy Hield (11923512),Buddy Hield,11923512,SG/SF/F/G/UTIL,7400,SAC@PHO 01/08/2019 09:00PM ET,SAC,32.83
SF/PF,Danilo Gallinari (11923517),Danilo Gallinari,11923517,SF/PF/F/UTIL,7300,CHA@LAC 01/08/2019 10:30PM ET,LAC,33.52
PF/C,Draymond Green (11923521),Draymond Green,11923521,PF/C/F/UTIL,7200,NY@GS 01/08/2019 10:30PM ET,GS,31.77
PG,De'Aaron Fox (11923525),De'Aaron Fox,11923525,PG/G/UTIL,7200,SAC@PHO 01/08/2019 09:00PM ET,SAC,37.40
SF/PF,T.J. Warren (11923528),T.J. Warren,11923528,SF/PF/F/UTIL,7100,SAC@PHO 01/08/2019 09:00PM ET,PHO,30.16
C,Steven Adams (11923532),Steven Adams,11923532,C/UTIL,7000,MIN@OKC 01/08/2019 08:00PM ET,OKC,34.91
C,Myles Turner (11923534),Myles Turner,11923534,C/UTIL,6900,IND@CLE 01/08/2019 07:00PM ET,IND,30.83
PF/C,John Collins (11923536),John Collins,11923536,PF/C/F/UTIL,6900,ATL@TOR 01/08/2019 07:30PM ET,ATL,36.10
PG/SG,Lou Williams (11923540),Lou Williams,11923540,PG/SG/G/UTIL,6800,CHA@LAC 01/08/2019 10:30PM ET,LAC,29.77
SG,Klay Thompson (11923544),Klay Thompson,11923544,SG/G/UTIL,6800,NY@GS 01/08/2019 10:30PM ET,GS,33.73
PG/SG,Jamal Murray (11923551),Jamal Murray,11923551,PG/SG/G/UTIL,6700,DEN@MIA 01/08/2019 07:30PM ET,DEN,34.20
PF/C,Pascal Siakam (11923547),Pascal Siakam,11923547,PF/C/F/UTIL,6700,ATL@TOR 01/08/2019 07:30PM ET,TOR,30.53
SG/SF,Tim Hardaway Jr. (11923555),Tim Hardaway Jr.,11923555,SG/SF/F/G/UTIL,6600,NY@GS 01/08/2019 10:30PM ET,NY,31.67
C,Hassan Whiteside (11923560),Hassan Whiteside,11923560,C/UTIL,6600,DEN@MIA 01/08/2019 07:30PM ET,MIA,36.11
PG/SF,Justise Winslow (11923562),Justise Winslow,11923562,PG/SF/F/G/UTIL,6500,DEN@MIA 01/08/2019 07:30PM ET,MIA,26.55
PG,Jeff Teague (11923567),Jeff Teague,11923567,PG/G/UTIL,6500,MIN@OKC 01/08/2019 08:00PM ET,MIN,30.71
SG/SF,Josh Richardson (11923574),Josh Richardson,11923574,SG/SF/F/G/UTIL,6400,DEN@MIA 01/08/2019 07:30PM ET,MIA,32.53
PF/C,Serge Ibaka (11923570),Serge Ibaka,11923570,PF/C/F/UTIL,6400,ATL@TOR 01/08/2019 07:30PM ET,TOR,31.08
C,Willie Cauley-Stein (11923583),Willie Cauley-Stein,11923583,C/UTIL,6300,SAC@PHO 01/08/2019 09:00PM ET,SAC,31.87
PF/C,Thomas Bryant (11923579),Thomas Bryant,11923579,PF/C/F/UTIL,6300,WAS@PHI 01/08/2019 07:00PM ET,WAS,18.69
PF/C,Montrezl Harrell (11923589),Montrezl Harrell,11923589,PF/C/F/UTIL,6200,CHA@LAC 01/08/2019 10:30PM ET,LAC,30.58
PG/SG,Derrick Rose (11923585),Derrick Rose,11923585,PG/SG/G/UTIL,6200,MIN@OKC 01/08/2019 08:00PM ET,MIN,31.57
SG/SF,Jeremy Lamb (11923593),Jeremy Lamb,11923593,SG/SF/F/G/UTIL,6100,CHA@LAC 01/08/2019 10:30PM ET,CHA,28.23
PF/C,Noah Vonleh (11923598),Noah Vonleh,11923598,PF/C/F/UTIL,6100,NY@GS 01/08/2019 10:30PM ET,NY,26.36
PF/C,DeMarcus Cousins (11923602),DeMarcus Cousins,11923602,PF/C/F/UTIL,6000,NY@GS 01/08/2019 10:30PM ET,GS,0
SF/PF,Robert Covington (11923606),Robert Covington,11923606,SF/PF/F/UTIL,6000,MIN@OKC 01/08/2019 08:00PM ET,MIN,29.69
SG/SF,Andrew Wiggins (11923610),Andrew Wiggins,11923610,SG/SF/F/G/UTIL,6000,MIN@OKC 01/08/2019 08:00PM ET,MIN,28.90
